2026-09-08 10:00:57.513 Python[42699:12158833] profile function : main
2026-09-08 10:00:57.517 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.003885
2026-09-08 10:00:57.520 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.007925
2026-09-08 10:00:57.520 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.009644
2026-09-08 10:00:57.520 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.015256
2026-09-08 10:00:57.520 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.007925
2026-09-08 10:00:57.520 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.009644
2026-09-08 10:00:57.520 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.030511
2026-09-08 10:00:57.520 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.015850
2026-09-08 10:00:57.520 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.019288
2026-09-08 10:00:57.520 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.030476
2026-09-08 10:00:57.521 Python[42699:12158833] Operation: ios18.sigmoid, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.007925
2026-09-08 10:00:57.521 Python[42699:12158833] Operation: ios18.mul, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.009644
2026-09-08 10:00:57.521 Python[42699:12158833] Operation: ios18.conv, Device Usage: <MLGPUComputeDevice: 0x12d6c2a00> Apple M5, Estimated Cost: 0.002379
